percentile,minAcrossGrid_dBm,medianAcrossGrid_dBm,maxAcrossGrid_dBm,numFiniteCells
1,19.500000,39.500000,56.500000,42
5,19.500000,39.500000,56.500000,42
10,24.500000,42.500000,57.500000,42
20,34.500000,48.500000,58.500000,42
50,39.500000,55.500000,67.500000,42
80,50.500000,62.500000,75.500000,42
90,55.500000,66.500000,75.500000,42
95,56.500000,69.000000,76.500000,42
99,59.500000,73.500000,76.500000,42
