percentile,minAcrossGrid_dBm,medianAcrossGrid_dBm,maxAcrossGrid_dBm,numFiniteCells
1,23.500000,40.500000,53.500000,42
5,23.500000,40.500000,53.500000,42
10,33.500000,43.000000,57.500000,42
20,36.500000,48.000000,61.500000,42
50,42.500000,55.500000,68.500000,42
80,50.500000,62.000000,73.500000,42
90,50.500000,63.500000,75.500000,42
95,51.500000,66.500000,76.500000,42
99,57.500000,70.000000,76.500000,42
